"id","Country","Year","Series","Currency","Value"
380,"Italy",2017,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8852"
380,"Italy",2018,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8468"
398,"Kazakhstan",1995,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","63.9500"
398,"Kazakhstan",2005,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","133.9800"
398,"Kazakhstan",2010,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","147.5000"
398,"Kazakhstan",2015,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","340.0100"
398,"Kazakhstan",2016,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","333.2900"
398,"Kazakhstan",2017,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","332.3300"
398,"Kazakhstan",2018,"Exchange rates: end of period (national currency per US dollar)","Tenge (KZT)","384.2000"
398,"Kazakhstan",1995,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","60.9500"
398,"Kazakhstan",2005,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","132.8800"
398,"Kazakhstan",2010,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","147.3550"
398,"Kazakhstan",2015,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","221.7283"
398,"Kazakhstan",2016,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","342.1600"
398,"Kazakhstan",2017,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","326.0010"
398,"Kazakhstan",2018,"Exchange rates: period average (national currency per US dollar)","Tenge (KZT)","344.7058"
616,"Poland",1985,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","0.0148"
616,"Poland",1995,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","2.4680"
616,"Poland",2005,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","3.2613"
616,"Poland",2010,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","2.9641"
616,"Poland",2015,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","3.9011"
616,"Poland",2016,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","4.1793"
616,"Poland",2017,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","3.4813"
616,"Poland",2018,"Exchange rates: end of period (national currency per US dollar)","Zloty (PLN)","3.7597"
616,"Poland",1985,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","0.0147"
616,"Poland",1995,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","2.4250"
616,"Poland",2005,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.2355"
616,"Poland",2010,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.0153"
616,"Poland",2015,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.7695"
616,"Poland",2016,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.9428"
616,"Poland",2017,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.7793"
616,"Poland",2018,"Exchange rates: period average (national currency per US dollar)","Zloty (PLN)","3.6117"
620,"Portugal",2005,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8477"
643,"Russian Federation",1995,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","4.6400"
643,"Russian Federation",2005,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","28.7825"
643,"Russian Federation",2010,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","30.4769"
643,"Russian Federation",2015,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","72.8827"
643,"Russian Federation",2016,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","60.6569"
643,"Russian Federation",2017,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","57.6002"
643,"Russian Federation",2018,"Exchange rates: end of period (national currency per US dollar)","Russian Ruble (RUB)","69.4706"
643,"Russian Federation",2005,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","28.2844"
643,"Russian Federation",2010,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","30.3679"
643,"Russian Federation",2015,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","60.9377"
643,"Russian Federation",2016,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","67.0559"
643,"Russian Federation",2017,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","58.3428"
643,"Russian Federation",2018,"Exchange rates: period average (national currency per US dollar)","Russian Ruble (RUB)","62.6681"
724,"Spain",2005,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8477"
724,"Spain",2010,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.7484"
724,"Spain",2015,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.9185"
724,"Spain",2016,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.9487"
724,"Spain",2017,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8338"
724,"Spain",2018,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8734"
724,"Spain",2005,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8038"
724,"Spain",2010,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.7543"
724,"Spain",2015,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.9013"
724,"Spain",2016,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.9034"
724,"Spain",2017,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8852"
724,"Spain",2018,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8468"
826,"United Kingdom",1985,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.6923"
826,"United Kingdom",1995,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.6452"
826,"United Kingdom",2005,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.5808"
826,"United Kingdom",2010,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.6388"
826,"United Kingdom",2015,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.6748"
826,"United Kingdom",2016,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.8129"
826,"United Kingdom",2017,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.7401"
826,"United Kingdom",2018,"Exchange rates: end of period (national currency per US dollar)","Pound Sterling (GBP)","0.7877"
826,"United Kingdom",1985,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.7792"
826,"United Kingdom",1995,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.6337"
826,"United Kingdom",2005,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.5500"
826,"United Kingdom",2010,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.6472"
826,"United Kingdom",2015,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.6545"
826,"United Kingdom",2016,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.7406"
826,"United Kingdom",2017,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.7770"
826,"United Kingdom",2018,"Exchange rates: period average (national currency per US dollar)","Pound Sterling (GBP)","0.7495"
98,"Euro Area",2005,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8477"
98,"Euro Area",2010,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.7484"
98,"Euro Area",2015,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.9185"
98,"Euro Area",2016,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.9487"
98,"Euro Area",2017,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8338"
98,"Euro Area",2018,"Exchange rates: end of period (national currency per US dollar)","Euro (EUR)","0.8734"
98,"Euro Area",2005,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8038"
98,"Euro Area",2010,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.7543"
98,"Euro Area",2015,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.9013"
98,"Euro Area",2016,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.9034"
98,"Euro Area",2017,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8852"
98,"Euro Area",2018,"Exchange rates: period average (national currency per US dollar)","Euro (EUR)","0.8468"
